Field | Type | Null | Default
--- | --- | --- | ---
id | varchar(36) | NO | null
slug | varchar(255) | YES | null
created_at | datetime | YES | null
nombre | varchar(255) | YES | null
whatsapp | varchar(50) | YES | null
email | varchar(255) | YES | null
profesion | varchar(255) | YES | null
empresa | varchar(255) | YES | null
bio | text | YES | null
etiquetas | text | YES | null
plan | varchar(50) | YES | null
foto_url | longtext | YES | null
comprobante_url | longtext | YES | null
status | varchar(50) | YES | null
paid_at | timestamp | YES | null
auto_email_sent | tinyint(1) | YES | 0
delivery_deadline | datetime | YES | null
direccion | text | YES | null
web | text | YES | null
instagram | text | YES | null
linkedin | text | YES | null
galeria_urls | longtext | YES | null
facebook | text | YES | null
tiktok | text | YES | null
productos_servicios | text | YES | null
google_business | text | YES | null
seller_id | int(11) | YES | null
commission_status | varchar(50) | YES | pending
edit_code | varchar(20) | YES | null
edit_uses_remaining | int(11) | YES | 2
last_edited_at | datetime | YES | null
tipo_perfil | varchar(20) | YES | persona
nombres | varchar(255) | YES | null
apellidos | varchar(255) | YES | null
nombre_negocio | varchar(255) | YES | null
contacto_nombre | varchar(255) | YES | null
contacto_apellido | varchar(255) | YES | null
menu_digital | varchar(500) | YES | null
leader_paid_at | datetime | YES | null
seller_confirmed_at | datetime | YES | null
template_id | varchar(50) | YES | classic
